Biomarker Name,ID,Exhaustive Synonyms,Type
17-Hydroxyprogesterone,HMDB0000374,"17-OHP, 17-alpha-Hydroxyprogesterone",Chemical
2-Methylcitric acid,HMDB0000379,2-Methylcitrate,Chemical
2-Ethylhydracrylic acid,HMDB0000396,2-Ethyl-3-hydroxypropanoic acid,Chemical
2-Methoxyestradiol,HMDB0000405,2-MeOE2,Chemical
2-Hydroxy-3-methylbutyric acid,HMDB0000407,2-Hydroxyisovaleric acid,Chemical
2-Methylglutaric acid,HMDB0000422,2-Methylglutarate,Chemical
"3,4-Dihydroxyhydrocinnamic acid",HMDB0000423,Dihydrocaffeic acid,Chemical
3-Hydroxyglutaric acid,HMDB0000428,3-OH-Glutarate,Chemical
17a-Estradiol,HMDB0000429,17-epi-Estradiol,Chemical
2-Furoylglycine,HMDB0000439,Furoylglycine,Chemical
3-Hydroxyphenylacetic acid,HMDB0000440,"m-Hydroxyphenylacetic acid, 3-HPAA",Chemical
Adipic acid,HMDB0000448,"Adipate, Hexanedioic acid",Chemical
5-Hydroxylysine,HMDB0000450,"Hyl, 5-Hydroxy-L-lysine",Chemical
cis-4-Hydroxycyclohexylacetic acid,N/A,,Chemical
3-Methylcrotonylglycine,HMDB0000459,3-MCG,Chemical
Allantoin,HMDB0000462,5-Ureidohydantoin,Chemical
Calcium,HMDB0000464,Ca,Chemical
Biopterin,HMDB0000468,,Chemical
5-Hydroxymethyluracil,HMDB0000469,,Chemical
5-Hydroxy-L-tryptophan,HMDB0000472,"5-HTP, Oxitriptan",Chemical
Butanone,HMDB0000474,"Methyl ethyl ketone, MEK",Chemical
3-Methylhistidine,HMDB0000479,"3-MHis, Tau-methylhistidine",Chemical
Caprylic acid,HMDB0000482,"Octanoic acid, Caprylate",Chemical
Vanillic acid,HMDB0000484,4-Hydroxy-3-methoxybenzoic acid,Chemical
Aspartylglycosamine,HMDB0000489,"AGA, Aspartylglucosamine",Chemical
Etiocholanolone,HMDB0000490,5β-Androstan-3α-ol-17-one,Chemical
3-Methyl-2-oxovaleric acid,HMDB0000491,"KMV, α-Keto-β-methylvaleric acid",Chemical
Chlorine,HMDB0000492,"Cl, Chloride",Chemical
Androstanediol,HMDB0000495,"3α-Androstanediol, 5α-Androstane-3α,17β-diol",Chemical
7-Ketocholesterol,HMDB0000501,"7-KC, 3β-Hydroxy-5-cholesten-7-one",Chemical
Ribitol,HMDB0000508,Adonitol,Chemical
Aminoadipic acid,HMDB0000510,"2-Aminoadipic acid, Alpha-aminoadipate, α-Aminoadipic acid",Chemical
L-Arginine,HMDB0000517,"Arg, R",Chemical
Chenodeoxycholic acid,HMDB0000518,"CDCA, Chenodiol",Chemical
5Z-Tetradecenoic acid,HMDB0000521,"Physeteric acid, (Z)-Tetradec-5-enoic acid",Chemical
3-Methylglutaconic acid,HMDB0000522,3-MGA,Chemical
5-Hydroxyhexanoic acid,HMDB0000525,5-Hydroxycaproic acid,Chemical
5a-Tetrahydrocortisol,HMDB0000526,"Allo-tetrahydrocortisol, Allotetrahydrocortisol",Chemical
3-Hydroxyvaleric acid,HMDB0000531,3-Hydroxypentanoic acid,Chemical
Acetylglycine,HMDB0000532,N-Acetylglycine,Chemical
Caproic acid,HMDB0000535,"Hexanoic acid, Caproate",Chemical
Adenosine triphosphate,HMDB0000538,ATP,Chemical
Magnesium,HMDB0000547,Mg,Chemical
3-Methyladipic acid,HMDB0000555,3-Methyladipate,Chemical
L-Alloisoleucine,HMDB0000557,"(2S,3R)-2-Amino-3-methylpentanoic acid",Chemical
B-Carotene,HMDB0000561,"beta-Carotene, β-Carotene, Provitamin A",Chemical
Creatinine,HMDB0000562,2-Amino-1-methyl-5H-imidazol-4-one,Chemical
D-Arabitol,HMDB0000568,Arabitol,Chemical
Deoxypyridinoline,HMDB0000569,"DPD, Pyrilinks-D",Chemical
Coproporphyrin III,HMDB0000570,,Chemical
L-Cysteine,HMDB0000574,"Cys, C",Chemical
"3,5-Diiodothyronine",HMDB0000582,T2,Chemical
Potassium,HMDB0000586,K,Chemical
Sodium,HMDB0000588,Na,Chemical
Hydrogen carbonate,HMDB0000595,"Bicarbonate, HCO3-",Chemical
Chromium,HMDB0000599,Cr,Chemical
Galactosylhydroxylysine,HMDB0000600,GHL,Chemical
cis-4-Decenedioic acid,HMDB0000603,,Chemical
D-2-Hydroxyglutaric acid,HMDB0000606,D-2-HG,Chemical
Cyanocobalamin,HMDB0000607,Vitamin B12,Chemical
Cobalt,HMDB0000608,Co,Chemical
D-Ribulose 5-phosphate,HMDB0000618,R5P,Chemical
Cholic acid,HMDB0000619,Cholalic acid,Chemical
Glutaconic acid,HMDB0000620,Glutaconate,Chemical
Ethylmalonic acid,HMDB0000622,EMA,Chemical
Deoxycholic acid,HMDB0000626,"DCA, Deoxycholate, Cholan-24-oic acid",Chemical
Succinylacetone,HMDB0000635,"4,6-Dioxoheptanoic acid",Chemical
Dodecanoic acid,HMDB0000638,"Lauric acid, Laurate",Chemical
L-Glutamine,HMDB0000641,"Gln, Q",Chemical
Coproporphyrin I,HMDB0000643,,Chemical
Galactose 1-phosphate,HMDB0000645,G1P,Chemical
L-Arabinose,HMDB0000646,Pectin sugar,Chemical
Decanoylcarnitine,HMDB0000651,C10 Carnitine,Chemical
Cholesterol sulfate,HMDB0000653,,Chemical
Copper,HMDB0000657,Cu,Chemical
D-Fructose,HMDB0000660,"Fructose, Fruit sugar",Chemical
Glutaric acid,HMDB0000661,"Glutarate, Pentanedioic acid",Chemical
Fluorine,HMDB0000662,"F, Fluoride",Chemical
Ortho-Hydroxyphenylacetic acid,HMDB0000669,2-Hydroxyphenylacetic acid,Chemical
Homo-L-arginine,HMDB0000670,Homoarginine,Chemical
Linoleic acid,HMDB0000673,"(9Z,12Z)-Octadecadienoic acid",Chemical
Iodine,HMDB0000675,"I, Iodide",Chemical
L-Homocystine,HMDB0000676,Homocystine,Chemical
Isovalerylglycine,HMDB0000678,IVG,Chemical
Homocitrulline,HMDB0000679,,Chemical
Indoxyl sulfate,HMDB0000682,"Indoxylsulfate, 3-Indoxyl sulfate",Chemical
L-Kynurenine,HMDB0000684,Kynurenine,Chemical
L-Leucine,HMDB0000687,"Leu, L",Chemical
Isovalerylcarnitine,HMDB0000688,"IVC, C5 Carnitine",Chemical
Malonic acid,HMDB0000691,"Malonate, Propanedioic acid",Chemical
Iron,HMDB0000692,Fe,Chemical
Heparan sulfate,HMDB0000693,,Chemical
L-2-Hydroxyglutaric acid,HMDB0000694,L-2-HG,Chemical
Ketoleucine,HMDB0000695,"Alpha-ketoisocaproate, α-Ketoisocaproic acid",Chemical
L-Methionine,HMDB0000696,"Met, M",Chemical
1-Methylnicotinamide,HMDB0000699,1-MNA,Chemical
3-Hydroxypropionic acid,HMDB0000700,"3-HP, Beta-hydroxypropionic acid",Chemical
Hexanoylglycine,HMDB0000701,,Chemical
Mandelic acid,HMDB0000703,Amygdalic acid,Chemical
4-Hydroxyphenylpyruvic acid,HMDB0000707,4-HPPA,Chemical
Glycoursodeoxycholic acid,HMDB0000708,GUDCA,Chemical
4-Hydroxybutyric acid,HMDB0000710,"GHB, Gamma-hydroxybutyrate",Chemical
Hippuric acid,HMDB0000714,N-Benzoylglycine,Chemical
Kynurenic acid,HMDB0000715,KYNA,Chemical
L-Pipecolic acid,HMDB0000716,(S)-Piperidine-2-carboxylic acid,Chemical
Isovaleric acid,HMDB0000718,"3-Methylbutanoic acid, Isovalerate",Chemical
L-Homoserine,HMDB0000719,Homoserine,Chemical
Glycylproline,HMDB0000721,Gly-Pro,Chemical
Lithocholyltaurine,HMDB0000722,Taurolithocholic acid,Chemical
Hydroxyproline,HMDB0000725,4-Hydroxy-L-proline,Chemical
Alpha-Hydroxyisobutyric acid,HMDB0000729,2-Hydroxyisobutyric acid,Chemical
Isobutyrylglycine,HMDB0000730,,Chemical
Cysteine-S-sulfate,HMDB0000731,S-Sulfocysteine,Chemical
Hyodeoxycholic acid,HMDB0000733,HDCA,Chemical
Isobutyryl-L-carnitine,HMDB0000736,C4 Carnitine,Chemical
Heptacarboxylporphyrin I,HMDB0000737,,Chemical
Lactulose,HMDB0000740,,Chemical
Homocysteine,HMDB0000742,Hcy,Chemical
Hydroxyisocaproic acid,HMDB0000746,"HICA, Leucic acid",Chemical
Methylglutaric acid,HMDB0000752,3-Methylglutaric acid,Chemical
3-Hydroxyisovaleric acid,HMDB0000754,3-HIVA,Chemical
Hydroxyphenyllactic acid,HMDB0000755,"HPLA, 4-Hydroxyphenyllactic acid",Chemical
L-Hexanoylcarnitine,HMDB0000756,C6 Carnitine,Chemical
Lithocholic acid,HMDB0000761,"LCA, Lithocholate",Chemical
5-Hydroxyindoleacetic acid,FDB001403,5-HIAA,Chemical
Hydrocinnamic acid,FDB008271,3-Phenylpropanoic acid,Chemical
Mannitol,HMDB0000765,,Chemical
Pseudouridine,HMDB0000767,"Psi, ψ, 5-Ribosyluracil",Chemical
Phenyllactic acid,HMDB0000779,"PLA, 3-Phenyllactic acid",Chemical
Azelaic acid,HMDB0000784,"Nonanedioic acid, Azelate",Chemical
Orotidine,HMDB0000788,,Chemical
L-Octanoylcarnitine,HMDB0000791,C8 Carnitine,Chemical
Sebacic acid,HMDB0000792,"Decanedioic acid, Sebacate",Chemical
Pristanic acid,HMDB0000795,"2,6,10,14-Tetramethylpentadecanoic acid",Chemical
SAICAR,HMDB0000797,Phosphoribosylaminoimidazolesuccinocarboxamide,Chemical
Phytanic acid,HMDB0000801,"3,7,11,15-Tetramethylhexadecanoic acid",Chemical
N-Butyrylglycine,HMDB0000808,,Chemical
N-Acetyl-L-aspartic acid,HMDB0000812,"NAA, N-Acetylaspartate",Chemical
Normetanephrine,HMDB0000819,,Chemical
Propyl alcohol,HMDB0000820,"1-Propanol, Propan-1-ol",Chemical
Propionylcarnitine,HMDB0000824,C3 Carnitine,Chemical
Stearic acid,HMDB0000827,"Octadecanoic acid, Stearate",Chemical
Neuraminic acid,HMDB0000830,,Chemical
Neopterin,HMDB0000845,,Chemical
Stearoylcarnitine,HMDB0000848,C18 Carnitine,Chemical
Pyridinoline,HMDB0000851,PYD,Chemical
Beta-Sitosterol,HMDB0000852,β-Sitosterol,Chemical
Pimelic acid,HMDB0000857,"Heptanedioic acid, Pimelate",Chemical
Phenylpropionylglycine,HMDB0000860,PPG,Chemical
Isopropyl alcohol,HMDB0000863,"Isopropanol, 2-Propanol, Rubbing alcohol",Chemical
N-Acetyl-L-tyrosine,HMDB0000866,NAT,Chemical
Histamine,HMDB0000870,,Chemical
Tauroursodeoxycholic acid,HMDB0000874,TUDCA,Chemical
Trigonelline,HMDB0000875,,Chemical
Xanthurenic acid,HMDB0000881,XA,Chemical
L-Valine,HMDB0000883,"Val, V",Chemical
Valeric acid,HMDB0000892,"Pentanoic acid, Valerate",Chemical
Suberic acid,HMDB0000893,"Octanedioic acid, Suberate",Chemical
Acetylcholine,HMDB0000895,ACh,Chemical
Taurodeoxycholic acid,HMDB0000896,TDCA,Chemical
1-Methylhistamine,HMDB0000898,N-Methylhistamine,Chemical
Tetrahydrocortisone,HMDB0000903,THE,Chemical
Citrulline,HMDB0000904,L-Citrulline,Chemical
Trimethylamine,HMDB0000906,TMA,Chemical
5-alpha-Cholestanol,HMDB0000908,"Dihydrocholesterol, Cholestanol",Chemical
Succinyladenosine,HMDB0000912,,Chemical
Trimethylamine N-oxide,HMDB0000925,TMAO,Chemical
L-Tryptophan,HMDB0000929,"Trp, W",Chemical
Uroporphyrin I,HMDB0000936,,Chemical
S-Adenosylhomocysteine,HMDB0000939,SAH,Chemical
Threonic acid,HMDB0000943,Threonate,Chemical
Behenic acid,HMDB0000944,Docosanoic acid,Chemical
Ursodeoxycholic acid,HMDB0000946,UDCA,Chemical
Tetrahydrocortisol,HMDB0000949,THF,Chemical
Taurochenodesoxycholic acid,HMDB0000951,TCDCA,Chemical
Suberylglycine,HMDB0000953,,Chemical
trans-Ferulic acid,FDB012802,Ferulic acid,Chemical
Tartaric acid,HMDB0000956,Tartrate,Chemical
trans-Aconitic acid,HMDB0000958,,Chemical
Tiglylglycine,HMDB0000959,,Chemical
Acetaldehyde,HMDB0000990,Ethanal,Chemical
DHEA sulfate,HMDB0001032,"DHEA-S, Dehydroepiandrosterone sulfate",Chemical
Angiotensin II,HMDB0001035,Ang II,Chemical
Arachidonic acid,HMDB0001043,"ARA, AA, (5Z,8Z,11Z,14Z)-Eicosatetraenoic acid",Chemical
Enkephalin L,HMDB0001045,Leucine enkephalin,Chemical
Cotinine,HMDB0001046,,Chemical
Ubiquinol 8,HMDB0001060,,Chemical
N-Acetylaspartylglutamic acid,HMDB0001067,NAAG,Chemical
D-Sedoheptulose 7-phosphate,HMDB0001068,S7P,Chemical
Coenzyme Q10,HMDB0001072,"CoQ10, Ubiquinone-10",Chemical
Leukotriene B4,HMDB0001085,LTB4,Chemical
2-Aminobenzoic acid,HMDB0001123,Anthranilic acid,Chemical
Nornicotine,HMDB0001126,,Chemical
Prostaglandin F2a,HMDB0001139,"PGF2α, Dinoprost",Chemical
5-Aminolevulinic acid,HMDB0001149,"5-ALA, d-ALA",Chemical
Keratan,HMDB0001165,Keratan sulfate,Chemical
Pyruvaldehyde,HMDB0001167,"Methylglyoxal, MGO",Chemical
Lathosterol,HMDB0001170,,Chemical
N1-Acetylspermine,HMDB0001186,,Chemical
Leukotriene C4,HMDB0001198,LTC4,Chemical
Guanosine diphosphate,HMDB0001201,GDP,Chemical
Prostaglandin E2,HMDB0001220,"PGE2, Dinoprostone",Chemical
Aluminum,HMDB0001247,Al,Chemical
Spermine,HMDB0001256,,Chemical
Spermidine,HMDB0001257,,Chemical
N1-Acetylspermidine,HMDB0001276,,Chemical
"2,3-Diphosphoglyceric acid",HMDB0001294,"2,3-DPG, 2,3-BPG",Chemical
Molybdenum,HMDB0001302,Mo,Chemical
Zinc,HMDB0001303,Zn,Chemical
D-Lactic acid,HMDB0001311,"D-Lactate, (R)-2-Hydroxypropanoic acid",Chemical
Phosphorus,HMDB0001315,P,Chemical
Manganese,HMDB0001333,Mn,Chemical
"3,4-Dihydroxybenzeneacetic acid",HMDB0001336,DOPAC,Chemical
ADP,HMDB0001341,Adenosine diphosphate,Chemical
Selenium,HMDB0001349,Se,Chemical
Alpha-Linolenic acid,HMDB0001388,ALA,Chemical
Melatonin,HMDB0001389,N-Acetyl-5-methoxytryptamine,Chemical
Hydroxycotinine,HMDB0001390,3-Hydroxycotinine,Chemical
5-Methyltetrahydrofolic acid,HMDB0001396,"5-MTHF, Levomefolic acid",Chemical
Glucose 6-phosphate,HMDB0001401,G6P,Chemical
Prostaglandin D2,HMDB0001403,PGD2,Chemical
Putrescine,HMDB0001414,"1,4-Diaminobutane",Chemical
24-Hydroxycholesterol,HMDB0001419,Cerebrosterol,Chemical
Estrone sulfate,HMDB0001425,E1S,Chemical
Phosphate,HMDB0001429,"PO4(3-), Inorganic phosphate, Pi",Chemical
Pyridoxamine,HMDB0001431,,Chemical
3-Methoxytyrosine,HMDB0001434,"3-OMD, 3-O-Methyldopa",Chemical
25-Hydroxyvitamin D2,HMDB0001438,"Ercalciol, Calcidiol D2, 25-OH-D2",Chemical
Sulfate,HMDB0001448,"SO4(2-), Sulphate",Chemical
Allopregnanolone,HMDB0001449,"3伪-Hydroxy-5伪-pregnan-20-one, Brexanolone",Chemical
Thiocyanate,HMDB0001453,SCN-,Chemical
Dihydroxyacetone phosphate,HMDB0001473,"DHAP, Glycerone phosphate",Chemical
Nicotinic acid,HMDB0001488,"Niacin, Vitamin B3",Chemical
Vanylglycol,HMDB0001490,"MHPG, 3-Methoxy-4-hydroxyphenylglycol",Chemical
Pyridoxal 5'-phosphate,HMDB0001491,"PLP, P5P, Codecarboxylase",Chemical
Gama-Tocopherol,HMDB0001492,"gamma-Tocopherol, 纬-Tocopherol",Chemical
7a-Hydroxycholesterol,HMDB0001496,7-alpha-Hydroxycholesterol,Chemical
20-Hydroxy-leukotriene B4,HMDB0001509,20-OH-LTB4,Chemical
Methylguanidine,HMDB0001522,,Chemical
3-Methylthiopropionic acid,HMDB0001527,"MTP, 3-Methylthiopropanoate",Chemical
Asymmetric Dimethyl-L-arginine,HMDB0001539,ADMA,Chemical
Pyridoxal,HMDB0001545,Vitamin B6 aldehyde,Chemical
Corticosterone,HMDB0001547,,Chemical
D-Ribose 5-phosphate,HMDB0001548,R5P,Chemical
1-Methylguanosine,HMDB0001563,m1G,Chemical
Phosphorylcholine,HMDB0001565,Phosphocholine,Chemical
Phenylglyoxylic acid,HMDB0001587,Benzoylformic acid,Chemical
D-Xylulose,HMDB0001644,,Chemical
Acetone,HMDB0001659,"Propan-2-one, Propanone",Chemical
m-Coumaric acid,HMDB0001713,"3-Coumaric acid, 3-Hydroxycinnamic acid",Chemical
Progesterone,HMDB0001830,P4,Chemical
Guanidine,HMDB0001842,,Chemical
Methylsuccinic acid,HMDB0001844,Pyrotartaric acid,Chemical
Caffeine,HMDB0001847,"1,3,7-Trimethylxanthine",Chemical
L-Arabitol,HMDB0001851,,Chemical
Protocatechuic acid,HMDB0001856,"3,4-Dihydroxybenzoic acid",Chemical
"1,3-Dimethyluric acid",HMDB0001857,,Chemical
p-Cresol,HMDB0001858,"4-Cresol, 4-Methylphenol",Chemical
Paraxanthine,HMDB0001860,"1,7-Dimethylxanthine",Chemical
Benzoic acid,HMDB0001870,"Benzoate, Dracylic acid",Chemical
Epicatechin,HMDB0001871,,Chemical
Isobutyric acid,HMDB0001873,"Isobutyrate, 2-Methylpropanoic acid",Chemical
Methanol,HMDB0001875,"Methyl alcohol, Wood alcohol",Chemical
Propylene glycol,HMDB0001881,"1,2-Propanediol",Chemical
3-Chlorotyrosine,HMDB0001885,,Chemical
3-Methylxanthine,HMDB0001886,,Chemical
"N,N-Dimethylformamide",HMDB0001888,DMF,Chemical
Theophylline,HMDB0001889,"1,3-Dimethylxanthine",Chemical
Alpha-Tocopherol,HMDB0001893,"伪-Tocopherol, Vitamin E",Chemical
Substance P,HMDB0001897,SP,Chemical
3-Nitrotyrosine,HMDB0001904,,Chemical
Digoxin,HMDB0001917,,Chemical
L(-)-Nicotine pestanal,HMDB0001934,Nicotine,Chemical
Tin,HMDB0001960,Sn,Chemical
Caffeic acid,HMDB0001964,"3,4-Dihydroxycinnamic acid",Chemical
Titanium,HMDB0001966,Ti,Chemical
Carbon dioxide,HMDB0001967,CO2,Chemical
Docosapentaenoic acid (22n-6),HMDB0001976,"DPA (n-6), Osbond acid",Chemical
Vasopressin,HMDB0001980,"Arginine vasopressin, AVP, ADH (Antidiuretic hormone)",Chemical
2-Hydroxy-2-methylbutyric acid,HMDB0001987,,Chemical
Tungsten,HMDB0001989,W,Chemical
7a-Hydroxy-cholestene-3-one,HMDB0001993,"7-alpha-Hydroxy-4-cholesten-3-one, C4",Chemical
Eicosapentaenoic acid,HMDB0001999,"EPA, (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid",Chemical
Methionine sulfoxide,HMDB0002005,MetO,Chemical
Ubiquinone Q1,HMDB0002012,"Coenzyme Q1, CoQ1",Chemical
Butyrylcarnitine,HMDB0002013,C4 carnitine,Chemical
cis-5-Tetradecenoylcarnitine,HMDB0002014,C14:1 carnitine,Chemical
8-Dehydrocholesterol,HMDB0002027,"Cholesta-5,8-dien-3-beta-ol",Chemical
Fructosamine,HMDB0002030,,Chemical
Ureidoisobutyric acid,HMDB0002031,3-Ureidoisobutyric acid,Chemical
8-Hydroxyguanine,HMDB0002032,"8-Oxoguanine, 8-oxo-G",Chemical
8-Hydroxyguanosine,HMDB0002044,"8-Oxoguanosine, 8-oxo-Guo",Chemical
Hyaluronic acid,HMDB0002061,"Hyaluronan, Hyaluronate",Chemical
N-Acetylputrescine,HMDB0002064,,Chemical
Erucic acid,HMDB0002068,(Z)-Docos-13-enoic acid,Chemical
Cyanide,HMDB0002084,CN-,Chemical
N-Ribosylhistidine,HMDB0002089,,Chemical
Malonylcarnitine,HMDB0002095,,Chemical
27-Hydroxycholesterol,HMDB0002103,,Chemical
Monoethyl phthalate,HMDB0002120,MEP,Chemical
"1,3,7-Trimethyluric acid",HMDB0002123,Trimethyluric acid,Chemical
Apigenin,HMDB0002124,,Chemical
Coproporphyrinogen I,HMDB0002158,,Chemical
Trihydroxycoprostanoic acid,HMDB0002163,THCA,Chemical
Cobalamin,HMDB0002174,Vitamin B12,Chemical
Silicon,HMDB0002175,Si,Chemical
Docosahexaenoic acid,HMDB0002183,"DHA, Cervonic acid",Chemical
N8-Acetylspermidine,HMDB0002189,,Chemical
Bismuth,HMDB0002196,Bi,Chemical
Leukotriene E4,HMDB0002200,LTE4,Chemical
Astaxanthin,HMDB0002204,,Chemical
Equol,HMDB0002209,,Chemical
Arachidic acid,HMDB0002212,"Eicosanoic acid, Arachidate",Chemical
Picolinic acid,HMDB0002243,2-Pyridinecarboxylic acid,Chemical
Dodecanoylcarnitine,HMDB0002250,"C12 Carnitine, Lauroylcarnitine",Chemical
Beta-Cryptoxanthin,HMDB0002268,尾-Cryptoxanthin,Chemical
Curcumin,HMDB0002269,,Chemical
Oxalic acid,HMDB0002329,"Oxalate, Ethanedioic acid",Chemical
trans-trans-Muconic acid,HMDB0002349,"t,t-Muconic acid",Chemical
Hexacosanoic acid,HMDB0002356,Cerotic acid,Chemical
Nervonic acid,HMDB0002368,(Z)-Tetracos-15-enoic acid,Chemical
Boron,HMDB0002386,B,Chemical
Beryllium,HMDB0002387,Be,Chemical
Nickel,HMDB0002457,Ni,Chemical
Vanadium,HMDB0002503,V,Chemical
Sulfolithocholylglycine,HMDB0002639,,Chemical
3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid,HMDB0002643,HPHPA,Chemical
Isorhamnetin,HMDB0002655,,Chemical
Naringenin,HMDB0002670,,Chemical
"1,5-Anhydrosorbitol",HMDB0002712,"1,5-Anhydro-D-glucitol",Chemical
Desmosterol,HMDB0002719,24-Dehydrocholesterol,Chemical
1-Methylinosine,HMDB0002721,m1I,Chemical
Thyroxine sulfate,HMDB0002728,T4-S,Chemical
Nitrite,HMDB0002786,NO2-,Chemical
Zeaxanthin,HMDB0002789,,Chemical
Cortisone,HMDB0002802,,Chemical
LysoPC(18:1(9Z)),HMDB0002815,Oleoyl-lysophosphatidylcholine,Chemical
Methylimidazoleacetic acid,HMDB0002820,MIAA,Chemical
Theobromine,HMDB0002825,"3,7-Dimethylxanthine",Chemical
Oxytocin,HMDB0002865,OXT,Chemical
Nitrate,HMDB0002878,NO3-,Chemical
6-Keto-prostaglandin F1a,HMDB0002886,6-keto-PGF1伪,Chemical
D-Xylitol,HMDB0002917,Xylitol,Chemical
"8,11,14-Eicosatrienoic acid",HMDB0002925,"Dihomo-纬-linolenic acid, DGLA",Chemical
11-Hydroxyandrosterone,HMDB0002984,,Chemical
Erythritol,HMDB0002994,,Chemical
Lycopene,HMDB0003000,,Chemical
Gamma-Linolenic acid,HMDB0003073,GLA,Chemical
1-Methyluric acid,HMDB0003099,,Chemical
Hydrogen peroxide,HMDB0003125,H2O2,Chemical
Cortolone,HMDB0003128,beta-Cortolone,Chemical
"2,3-Butanediol",HMDB0003156,,Chemical
Guanidinosuccinic acid,HMDB0003157,GSA,Chemical
Chlorogenic acid,HMDB0003164,,Chemical
Cortol,HMDB0003180,beta-Cortol,Chemical
Genistein,HMDB0003217,,Chemical
Methanethiol,HMDB0003227,Methyl mercaptan,Chemical
Palmitoleic acid,HMDB0003229,(9Z)-Hexadecenoic acid,Chemical
Vaccenic acid,HMDB0003231,(11E)-Octadecenoic acid,Chemical
Lutein,HMDB0003233,,Chemical
Solanidine,HMDB0003236,,Chemical
Acetoin,HMDB0003243,3-Hydroxy-2-butanone,Chemical
Phloretin,HMDB0003306,,Chemical
Daidzein,HMDB0003312,,Chemical
1-Methyladenosine,HMDB0003331,m1A,Chemical
8-Hydroxy-deoxyguanosine,HMDB0003333,8-oxo-dG,Chemical
Symmetric dimethylarginine,HMDB0003334,SDMA,Chemical
Oxidized glutathione,HMDB0003337,GSSG,Chemical
D-Glutamic acid,HMDB0003339,D-Glutamate,Chemical
Menthol,HMDB0003352,,Chemical
D-Serine,HMDB0003406,,Chemical
4-Guanidinobutanoic acid,HMDB0003464,,Chemical
"3,5-Diiodo-L-tyrosine",HMDB0003474,DIT,Chemical
Calcidiol,HMDB0003550,"25-Hydroxyvitamin D3, 25-OH-D3",Chemical
Vitamin K1,HMDB0003555,Phylloquinone,Chemical
Taurocyamine,HMDB0003584,,Chemical
Retinyl ester,HMDB0003598,,Chemical
Mercury,HMDB0003625,Hg,Chemical
(R)-N-Methylsalsolinol,HMDB0003626,,Chemical
Cadmium,HMDB0003638,Cd,Chemical
Strontium,HMDB0003642,Sr,Chemical
2-Heptanone,HMDB0003671,Methyl amyl ketone,Chemical
"5a-Pregnane-3,20-dione",HMDB0003759,Allopregnanedione,Chemical
15(S)-HETE,HMDB0003876,15-Hydroxyeicosatetraenoic acid,Chemical
(S)-N-Methylsalsolinol,HMDB0003892,,Chemical
3-Aminoisobutanoic acid,HMDB0003911,"BAIBA, 3-AIB",Chemical
Pentosidine,HMDB0003933,,Chemical
Selenomethionine,HMDB0003966,SeMet,Chemical
Alpha-Carotene,HMDB0003993,伪-Carotene,Chemical
Pregnanediol,HMDB0004025,"5尾-Pregnane-3伪,20伪-diol",Chemical
11-Dehydrocorticosterone,HMDB0004029,,Chemical
Metanephrine,HMDB0004063,,Chemical
Melanin,HMDB0004068,,Chemical
Anandamide,HMDB0004080,"N-Arachidonoylethanolamine, AEA",Chemical
"1-Benzyl-1,2,3,4-tetrahydroisoquinoline",HMDB0004087,,Chemical
Antimony,HMDB0004118,Sb,Chemical
D-Threitol,HMDB0004136,,Chemical
N1-Methyl-2-pyridone-5-carboxamide,HMDB0004193,2PY,Chemical
L-a-glutamyl-L-Lysine,HMDB0004207,epsilon-(gamma-Glutamyl)lysine,Chemical
2-Oxoarginine,HMDB0004225,,Chemical
Prostaglandin B2,HMDB0004236,PGB2,Chemical
11-Dehydro-thromboxane B2,HMDB0004242,11-dehydro-TXB2,Chemical
1-Butanol,HMDB0004327,"n-Butanol, Butyl alcohol",Chemical
Anabasine,HMDB0004350,,Chemical
4-Hydroxynonenal,HMDB0004362,4-HNE,Chemical
Lipoxin A4,HMDB0004385,LXA4,Chemical
Eucalyptol,HMDB0004472,"1,8-Cineole",Chemical
N-a-Acetyl-L-arginine,HMDB0004620,N-alpha-Acetyl-L-arginine,Chemical
Lead,HMDB0004628,Pb,Chemical
O-Desmethylangolensin,HMDB0004629,O-DMA,Chemical
13(S)-hydroxyoctadecadienoic acid,HMDB0004667,13(S)-HODE,Chemical
"13,14-Dihydro-15-keto PGF2a",HMDB0004685,PGFM,Chemical
4-Heptanone,HMDB0004814,,Chemical
"N2,N2-Dimethylguanosine",HMDB0004824,"m2,2G",Chemical
p-Octopamine,HMDB0004825,4-Octopamine,Chemical
